Dimeguard Monthly Budget,,,
"How to use: set a planned amount for each line at the start of the month, fill in actuals at the end. Difference = planned minus actual. The goal is awareness, not perfection.",,,
,,,
Category,Line item,Planned,Actual
INCOME,,,
Income,Take-home pay (you),,
Income,Take-home pay (partner),,
Income,Side income,,
Income,Other income,,
TOTAL INCOME,Sum of income rows,,
,,,
FIXED EXPENSES,,,
Housing,Rent / mortgage,,
Housing,Property tax / HOA,,
Housing,Home insurance,,
Utilities,Electricity / gas,,
Utilities,Water / trash,,
Utilities,Internet / phone,,
Transport,Car payment,,
Transport,Auto insurance,,
Transport,Fuel / transit,,
Insurance,Health insurance premiums,,
Insurance,Life / disability premiums,,
Debt,Student loan payment,,
Debt,Credit card payment,,
Childcare,Childcare / school,,
,,,
SAVINGS & GOALS,,,
Savings,Emergency fund contribution,,
Savings,Retirement contribution (outside payroll),,
Savings,College / 529 contribution,,
Savings,Other goals,,
,,,
FLEXIBLE SPENDING,,,
Living,Groceries,,
Living,Dining out,,
Living,Medical / pharmacy,,
Living,Personal care,,
Family,Kids' activities,,
Family,Gifts / support to family,,
Lifestyle,Subscriptions / streaming,,
Lifestyle,Travel,,
Lifestyle,Everything else,,
,,,
TOTAL EXPENSES,Sum of all expense rows,,
LEFT OVER,Total income minus total expenses,,
,,,
"Dimeguard · dimeguard.com · Informational only — not investment, tax, or legal advice.",,,
