Dimeguard Net Worth Tracker,,,,,
"How to use: fill one column per quarter. Net worth = total assets minus total liabilities. Update it quarterly — the trend matters more than any single number.",,,,,
,,,,,
Category,Item,Q1,Q2,Q3,Q4
ASSETS,,,,,
Cash,Checking accounts,,,,
Cash,Savings accounts,,,,
Cash,Emergency fund,,,,
Retirement,401(k) / 403(b),,,,
Retirement,Traditional IRA,,,,
Retirement,Roth IRA,,,,
Retirement,HSA balance,,,,
Investments,Brokerage accounts,,,,
Investments,529 / education accounts,,,,
Investments,Other investments,,,,
Property,Home (market value),,,,
Property,Vehicles,,,,
Property,Other property,,,,
Insurance,Cash value of permanent life insurance,,,,
Other,Business interests,,,,
Other,Money owed to you,,,,
TOTAL ASSETS,Sum of all asset rows,,,,
,,,,,
LIABILITIES,,,,,
Housing,Mortgage balance,,,,
Housing,Home equity loan / HELOC,,,,
Loans,Auto loans,,,,
Loans,Student loans,,,,
Loans,Personal loans,,,,
Credit,Credit card balances,,,,
Other,Taxes owed,,,,
Other,Other debts,,,,
TOTAL LIABILITIES,Sum of all liability rows,,,,
,,,,,
NET WORTH,Total assets minus total liabilities,,,,
,,,,,
"Dimeguard · dimeguard.com · Informational only — not investment, tax, or legal advice.",,,,,
